activite_association,id,nom_beneficiaire,Nature subv.,objet,"N°
DCM",annee_vote,montant,"Conv°
Lettre engagement",siret, Nature , Modalités de paiement ,Technique & Recherche,Architecture & urbanisme,Social,Education & formation,Culture & Arts,Humanitaire,Communication & média,Environnement & écologie,Aides aux associations,Sport,Santé,Relations internationales,Idée & opinion,Loisirs,Déplacements et transports,Tourisme,Mémoire,Défense des droits et des intérêts,Economie,Emploi,Précarité & Exclusion,Vie et animation locale
Aides aux associations,76.0,COMITE DE QUARTIER SAINT ROCH ET ECUSSON CA76!,Fonctionnement,,V2018-483,19/12/2018,500,En attente réception,75400592400016.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,80.0,LES AMIS DU MUSEE FABRE AMF CA80!,Fonctionnement,,V2018-508,19/12/2018,4000,En attente réception,35243781800037.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,92.0,AMICALE DES RETRAITES LOU CLAPAS CA92!,Fonctionnement,,V2018-483,19/12/2018,500,En attente réception,45023490100012.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,105.0,FESTIVAL INTERNATIONAL DU CINEMA MEDITERRANEEN DE MONTPELLIER CINEMED CA105!,Fonctionnement,,V2018-508,19/12/2018,247000,En attente réception,37762969600040.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,105.0,FESTIVAL INTERNATIONAL DU CINEMA MEDITERRANEEN DE MONTPELLIER CINEMED CA105!,Projet,26ÈME FESTIVAL JEUNE PUBLIC,V2018-508,19/12/2018,6000,En attente réception,37762969600040.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,107.0,LES AMIS DE JEAN VIGO CA107!,Fonctionnement,,V2018-508,19/12/2018,12500,En attente réception,82300982400017.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,122.0,MAJORETTES DE MONTPELLIER DITES MAJOR'S GIRLS CA122!,Fonctionnement,,V2018-483,19/12/2018,2850,En attente réception,75309303800010.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,122.0,MAJORETTES DE MONTPELLIER DITES MAJOR'S GIRLS CA122!,Projet,FESTIVAL INTERNATIONAL DE GIULIANOVA (ITALIE),V2018-483,19/12/2018,3000,En attente réception,75309303800010.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport/Sport,128.0,MONTPELLIER HANDBALL CA128!,Fonctionnement,,V2018-488,19/12/2018,57000,En attente réception,35195989500035.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,130.0,FRIENDS OF THE ANGLOPHONE LIBRARY CA130!,Fonctionnement,,V2018-508,19/12/2018,300,En attente réception,53452190100015.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santé,132.0,AMIS DE LA BIBLIOTHEQUE DES HOPITAUX DE MONTPELLIER CA132!,Fonctionnement,,V2018-510,19/12/2018,700,En attente réception,75389688500013.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,146.0,AMIS DE L'ORGUE ET CHÆURS DE LA CATHEDRALE CA146!,Fonctionnement,,V2018-508,19/12/2018,1800,En attente réception,77606121000014.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,148.0,CHOEURS DE L'ENCLOS CA148!,Fonctionnement,,V2018-508,19/12/2018,2300,En attente réception,40265985800029.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,149.0,ENSEMBLE VOCAL CLAIRE GARRONE CA149!,Fonctionnement,,V2018-508,19/12/2018,4300,En attente réception,43993262500031.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,151.0,CHOEUR UNIVERSITAIRE DE MONTPELLIER MEDITERRANEE CA151!,Fonctionnement,,V2018-508,19/12/2018,2300,En attente réception,48538621300014.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,152.0,GROUPE VOCAL ARLEQUIN CA152!,Fonctionnement,,V2018-508,19/12/2018,500,En attente réception,78857238600019.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,153.0,ENSEMBLE VOCAL ET INSTRUMENTAL DE MONTPELLIER CA153!,Fonctionnement,,V2018-508,19/12/2018,4000,En attente réception,39800311100042.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,154.0,JAM - JAZZ ACTION MONTPELLIER CA154!,Fonctionnement,,V2018-508,19/12/2018,10000,En attente réception,32526719300051.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santé,155.0,JALMALV  MONTPELLIER CA155!,Fonctionnement,,V2018-510,19/12/2018,3000,En attente réception,45138043000012.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Santé,164.0,AMICALE LANGUEDOC ROUSSILLON DES INSUFFISANTS RESPIRATOIRES CA164!,Fonctionnement,,V2018-510,19/12/2018,600,En attente réception,43431631100027.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,182.0,LA GARRIGA LENGADOCIANA CA182!,Fonctionnement,,V2018-483,19/12/2018,2500,En attente réception,49259290200018.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,182.0,LA GARRIGA LENGADOCIANA CA182!,Projet,23ÈMES RENCONTRES FOLKLORIQUES,V2018-483,19/12/2018,5000,En attente réception,49259290200018.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,184.0,LOU PARAGE DE MOUNT PELIE CA184!,Fonctionnement,,V2018-508,19/12/2018,900,En attente réception,49503694900016.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport/Education & formation,195.0,ECLAIREUSES ECLAIREURS UNIONISTES DE FRANCE CA195!,Fonctionnement,,V2018-489,19/12/2018,1200,En attente réception,77572368700015.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,200.0,OBJECTIF IMAGE MONTPELLIER CA200!,Fonctionnement,,V2018-508,19/12/2018,1900,En attente réception,49994546700011.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,219.0,COMITE DE QUARTIER DES HAUTS DE MASSANE CA219!,Fonctionnement,,V2018-483,19/12/2018,500,En attente réception,53179958300012.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Education & formation,231.0,CREATEF CA231!,Projet,LE QUARTIER DES BÉBÉS - HORS LES MURS,V2018-498,19/12/2018,800,Reçue,34783399800037.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,231.0,CREATEF CA231!,Fonctionnement,,V2018-508,19/12/2018,1700,En attente réception,34783399800037.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,231.0,CREATEF CA231!,Projet,LE QUARTIER DES BÉBÉS,V2018-508,19/12/2018,500,En attente réception,34783399800037.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economie,232.0,UNION LOCALE CFTC DE MONTPELLIER ET ENVIRONS CA232!,Fonctionnement,,V2018-517,19/12/2018,450,En attente réception,43472353200025.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Santé,233.0,MA VIE CA233!,Projet,MALADIE CHRONIQUE ET ACTIVITE PHYSIAUE,V2018-510,19/12/2018,1800,En attente réception,48380103100020.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Economie,237.0,UNION LOCALE CGT CA237!,Fonctionnement,,V2018-517,19/12/2018,4000,En attente réception,43274623800026.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Economie,239.0,FO UNION LOCALE FORCE OUVRIERE DE MONPELLIER CA239!,Fonctionnement,,V2018-517,19/12/2018,4000,En attente réception,79748285800017.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Economie/Economie,249.0,UFC QUE CHOISIR CA249!,Fonctionnement,,V2018-504,19/12/2018,1000,Reçue,38493764500024.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Culture & Arts,254.0,UNIVERSITE MONTPELLIER III PAUL VALERY UNIVERSITE DU TIERS TEMPS,Fonctionnement,,V2018-508,19/12/2018,3000,En attente réception,19341089100256.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport/Sport,278.0,MONTPELLIER ARC CLUB MAC CA278!,Fonctionnement,,V2018-488,19/12/2018,5800,En attente réception,43039361100016.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sport/Sport,278.0,MONTPELLIER ARC CLUB MAC CA278!,Projet,COMPÉTITION 2EME MANCHE DE DIVISION NATIONALE,V2018-488,19/12/2018,4000,En attente réception,43039361100016.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sport,278.0,MONTPELLIER ARC CLUB MAC CA278!,Projet,LES PETITS INDIENS,V2018-488,19/12/2018,2000,En attente réception,43039361100016.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sport/Education & formation,290.0,ARGOS CA290!,Projet,ATELIERS COACHING,V2018-489,19/12/2018,300,En attente réception,48444481500019.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,296.0,JASMIN D'ORIENT CA296!,Fonctionnement,,V2018-483,19/12/2018,800,En attente réception,50349407200013.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,296.0,JASMIN D'ORIENT CA296!,Projet,DÉCOUVERTE ET LOISIR,V2018-483,19/12/2018,350,En attente réception,50349407200013.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,297.0,MOTS PASSANTS CA297!,Projet,"MISE EN PLCE D' ATELIERS DE LECTURE ORALE AUPRÈS DE CENTRE HENRI WALLON-LAINÉ RUE FOCH, QUARTIER ST ROCH, QUARTIER MALBOSC  ",V2018-508,19/12/2018,300,En attente réception,51876015200018.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,307.0,RCF MAGUELONE HERAULT CA307!,Fonctionnement,,V2018-508,19/12/2018,8000,En attente réception,32815373900037.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education & formation,309.0,CENTRES D'ENTRAINEMENT AUX METHODES D'EDUCATION ACTIVES - CEMEA - CA309!,Projet,FESTIVAL INTERNATIONL DU FILM D'ÉDUCATION DÉCENTRALISÉ À MONTPELLIER ET EN OCCITANIE ,V2018-486,19/12/2018,2700,En attente réception,33513004300029.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,322.0,COMITE DE QUARTIER DE CELLENEUVE CA322!,Fonctionnement,,V2018-483,19/12/2018,500,En attente réception,71719852000024.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,322.0,COMITE DE QUARTIER DE CELLENEUVE CA322!,Projet,ANIMATIONS ,V2018-483,19/12/2018,350,En attente réception,71719852000024.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,322.0,COMITE DE QUARTIER DE CELLENEUVE CA322!,Projet,JARDIN PARTAGE DE CELLENEUVE,V2018-483,19/12/2018,350,En attente réception,71719852000024.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,325.0,COMITE DE QUARTIER DE LA CHAMBERTE CA325!,Fonctionnement,,V2018-483,19/12/2018,500,En attente réception,78889736100028.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,325.0,COMITE DE QUARTIER DE LA CHAMBERTE CA325!,Projet,FÊTE DU QUARTIER,V2018-483,19/12/2018,700,En attente réception,78889736100028.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,368.0,AMICALE DES CORSES DE MONTPELLIER CA368!,Fonctionnement,,V2018-483,19/12/2018,500,En attente réception,79024831400011.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,375.0,B.A. BACH CA375!,Fonctionnement,,V2018-508,19/12/2018,800,En attente réception,48969021400015.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,382.0,ASSOCIATION JULES SONIC PRODS CA382!,Fonctionnement,,V2018-508,19/12/2018,1000,En attente réception,48056415200019.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,390.0,CENTRE CULTUREL ITALIEN SOCIETA DANTE ALIGHIERI CA390!,Projet,CYCLE DE CONFÉRENCES,V2018-508,19/12/2018,500,En attente réception,38295873400024.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aides aux associations,396.0,COMITE DE QUARTIER LEZ - POMPIGNANE DE MONTPELLIER CA396!,Fonctionnement,,V2018-483,19/12/2018,500,En attente réception,75383929900017.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Humanitaire,400.0,AMITIES RUSSES ET AVEC LES PEUPLES DE L'EX URSS CA400!,Projet,SEMAINE CULTURELLE,V2018-513,19/12/2018,700,En attente réception,52000277500010.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport/Sport,406.0,ECHECS CLUB MONTPELLIER ECM CA406!,Fonctionnement,,V2018-488,19/12/2018,5600,En attente réception,39281683100011.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sport/Sport,406.0,ECHECS CLUB MONTPELLIER ECM CA406!,Projet,8 EME CHESSATHLON DE MONTPELLIER,V2018-488,19/12/2018,2200,En attente réception,39281683100011.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sport/Sport,406.0,ECHECS CLUB MONTPELLIER ECM CA406!,Projet,TOPF,V2018-488,19/12/2018,2000,En attente réception,39281683100011.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sport,406.0,ECHECS CLUB MONTPELLIER ECM CA406!,Projet,PARTENARIAT MONTPELLIE SPORT,V2018-488,19/12/2018,1700,En attente réception,39281683100011.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Education & formation,406.0,ECHECS CLUB MONTPELLIER ECM CA406!,Projet,REUSSITE EDUCATIVE,V2018-486,19/12/2018,4300,En attente réception,39281683100011.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education & formation,409.0,JOUONS EN LUDOTHEQUES CA409!,Fonctionnement,,V2018-498,19/12/2018,2000,Reçue,31897784000020.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,412.0,INTENSITES CA412!,Fonctionnement,,V2018-508,19/12/2018,3600,En attente réception,49212213000023.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,418.0,ASSOCIATION RAMA. CA418!,Fonctionnement,,V2018-508,19/12/2018,9000,En attente réception,49189039800010.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,432.0,ASSOCIATION DES PUPILLES DE L'ENSEIGNEMENT PUBLIC HERAULT CA432!,Fonctionnement,,V2018-508,19/12/2018,5000,En attente réception,34034342500260.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,432.0,ASSOCIATION DES PUPILLES DE L'ENSEIGNEMENT PUBLIC HERAULT CA432!,Projet,SAISON DE LA BULLE BLEUE,V2018-508,19/12/2018,4000,En attente réception,34034342500260.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,444.0,AMIS DE L'ORGUE DES SAINTS FRANCOIS CA444!,Fonctionnement,,V2018-508,19/12/2018,500,En attente réception,49271305200016.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humanitaire,456.0,MAISON DES TIERS MONDES SOLIDARITE INTERNATIONALE MTMSI CA456!,Fonctionnement,,V2018-513,19/12/2018,8000,En attente réception,35391099500011.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humanitaire,456.0,MAISON DES TIERS MONDES SOLIDARITE INTERNATIONALE MTMSI CA456!,Projet,30ÈME QUINZAINE DE LA SOLIDAITÉ INTERNATIONALE.,V2018-513,19/12/2018,2000,En attente réception,35391099500011.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,457.0,ASSOCIATION LE MOOVENEMENT CA457!,Projet,TRANSHUMANCIA: CRÉATION DANSE THÉÂTRE INSTALLATION,V2018-508,19/12/2018,500,En attente réception,49186712300029.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
