Thématique,N°Asso.,Nom association,Nature subv.,Titre du projet,"N°
DCM","DCM
Date", Accordé ,"Conv°
Lettre engagement",SIRET, Nature , Modalités de paiement 
SANTE,164,AMICALE LANGUEDOC ROUSSILLON DES INSUFFISANTS RESPIRATOIRES CA164!,Fonctionnement,,V2018-510,19/12/2018,600 €,En attente réception,43431631100027,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,182,LA GARRIGA LENGADOCIANA CA182!,Fonctionnement,,V2018-483,19/12/2018," 2,500 € ",En attente réception,49259290200018,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,182,LA GARRIGA LENGADOCIANA CA182!,Projet,23ÈMES RENCONTRES FOLKLORIQUES,V2018-483,19/12/2018," 5,000 € ",En attente réception,49259290200018,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,184,LOU PARAGE DE MOUNT PELIE CA184!,Fonctionnement,,V2018-508,19/12/2018,900 €,En attente réception,49503694900016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / JEUNESSE VIE ETUDIANTE,195,ECLAIREUSES ECLAIREURS UNIONISTES DE FRANCE CA195!,Fonctionnement,,V2018-489,19/12/2018,"1,200 €",En attente réception,77572368700015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,200,OBJECTIF IMAGE MONTPELLIER CA200!,Fonctionnement,,V2018-508,19/12/2018,"1,900 €",En attente réception,49994546700011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,219,COMITE DE QUARTIER DES HAUTS DE MASSANE CA219!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,53179958300012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
ENFANCE,231,CREATEF CA231!,Projet,LE QUARTIER DES BÉBÉS - HORS LES MURS,V2018-498,19/12/2018,800 €,Reçue,34783399800037,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,231,CREATEF CA231!,Fonctionnement,,V2018-508,19/12/2018,"1,700 €",En attente réception,34783399800037,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,231,CREATEF CA231!,Projet,LE QUARTIER DES BÉBÉS,V2018-508,19/12/2018,500 €,En attente réception,34783399800037,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
FINANCES,232,UNION LOCALE CFTC DE MONTPELLIER ET ENVIRONS CA232!,Fonctionnement,,V2018-517,19/12/2018,450 €,En attente réception,43472353200025,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SANTE,233,MA VIE CA233!,Projet,MALADIE CHRONIQUE ET ACTIVITE PHYSIAUE,V2018-510,19/12/2018,"1,800 €",En attente réception,48380103100020,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
FINANCES,237,UNION LOCALE CGT CA237!,Fonctionnement,,V2018-517,19/12/2018,"4,000 €",En attente réception,43274623800026,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
FINANCES,239,FO UNION LOCALE FORCE OUVRIERE DE MONPELLIER CA239!,Fonctionnement,,V2018-517,19/12/2018,"4,000 €",En attente réception,79748285800017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
ECONOMIE / DEV ECO COMMERCIAL,249,UFC QUE CHOISIR CA249!,Fonctionnement,,V2018-504,19/12/2018,"1,000 €",Reçue,38493764500024,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,254,UNIVERSITE MONTPELLIER III PAUL VALERY UNIVERSITE DU TIERS TEMPS,Fonctionnement,,V2018-508,19/12/2018,"3,000 €",En attente réception,19341089100256,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,278,MONTPELLIER ARC CLUB MAC CA278!,Fonctionnement,,V2018-488,19/12/2018,"5,800 €",En attente réception,43039361100016,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
JEUNESSE & SPORT / SPORTS,278,MONTPELLIER ARC CLUB MAC CA278!,Projet,COMPÉTITION 2EME MANCHE DE DIVISION NATIONALE,V2018-488,19/12/2018,"4,000 €",En attente réception,43039361100016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,278,MONTPELLIER ARC CLUB MAC CA278!,Projet,LES PETITS INDIENS,V2018-488,19/12/2018,"2,000 €",En attente réception,43039361100016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / JEUNESSE VIE ETUDIANTE,290,ARGOS CA290!,Projet,ATELIERS COACHING,V2018-489,19/12/2018,300 €,En attente réception,48444481500019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,296,JASMIN D'ORIENT CA296!,Fonctionnement,,V2018-483,19/12/2018, 800 € ,En attente réception,50349407200013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,296,JASMIN D'ORIENT CA296!,Projet,DÉCOUVERTE ET LOISIR,V2018-483,19/12/2018, 350 € ,En attente réception,50349407200013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,297,MOTS PASSANTS CA297!,Projet,"MISE EN PLCE D' ATELIERS DE LECTURE ORALE AUPRÈS DE CENTRE HENRI WALLON-LAINÉ RUE FOCH, QUARTIER ST ROCH, QUARTIER MALBOSC  ",V2018-508,19/12/2018,300 €,En attente réception,51876015200018,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,307,RCF MAGUELONE HERAULT CA307!,Fonctionnement,,V2018-508,19/12/2018,"8,000 €",En attente réception,32815373900037,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
REUSSITE EDUCATIVE,309,CENTRES D'ENTRAINEMENT AUX METHODES D'EDUCATION ACTIVES - CEMEA - CA309!,Projet,FESTIVAL INTERNATIONL DU FILM D'ÉDUCATION DÉCENTRALISÉ À MONTPELLIER ET EN OCCITANIE ,V2018-486,19/12/2018,"2,700 €",En attente réception,33513004300029,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,322,COMITE DE QUARTIER DE CELLENEUVE CA322!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,71719852000024,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,322,COMITE DE QUARTIER DE CELLENEUVE CA322!,Projet,ANIMATIONS ,V2018-483,19/12/2018, 350 € ,En attente réception,71719852000024,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,322,COMITE DE QUARTIER DE CELLENEUVE CA322!,Projet,JARDIN PARTAGE DE CELLENEUVE,V2018-483,19/12/2018, 350 € ,En attente réception,71719852000024,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,325,COMITE DE QUARTIER DE LA CHAMBERTE CA325!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,78889736100028,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,325,COMITE DE QUARTIER DE LA CHAMBERTE CA325!,Projet,FÊTE DU QUARTIER,V2018-483,19/12/2018, 700 € ,En attente réception,78889736100028,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,368,AMICALE DES CORSES DE MONTPELLIER CA368!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,79024831400011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,375,B.A. BACH CA375!,Fonctionnement,,V2018-508,19/12/2018,800 €,En attente réception,48969021400015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,382,ASSOCIATION JULES SONIC PRODS CA382!,Fonctionnement,,V2018-508,19/12/2018,"1,000 €",En attente réception,48056415200019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,390,CENTRE CULTUREL ITALIEN SOCIETA DANTE ALIGHIERI CA390!,Projet,CYCLE DE CONFÉRENCES,V2018-508,19/12/2018,500 €,En attente réception,38295873400024,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,396,COMITE DE QUARTIER LEZ - POMPIGNANE DE MONTPELLIER CA396!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,75383929900017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
INTERNATIONAL,400,AMITIES RUSSES ET AVEC LES PEUPLES DE L'EX URSS CA400!,Projet,SEMAINE CULTURELLE,V2018-513,19/12/2018,700 €,En attente réception,52000277500010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,406,ECHECS CLUB MONTPELLIER ECM CA406!,Fonctionnement,,V2018-488,19/12/2018,"5,600 €",En attente réception,39281683100011,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
JEUNESSE & SPORT / SPORTS,406,ECHECS CLUB MONTPELLIER ECM CA406!,Projet,8 EME CHESSATHLON DE MONTPELLIER,V2018-488,19/12/2018,"2,200 €",En attente réception,39281683100011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,406,ECHECS CLUB MONTPELLIER ECM CA406!,Projet,TOPF,V2018-488,19/12/2018,"2,000 €",En attente réception,39281683100011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,406,ECHECS CLUB MONTPELLIER ECM CA406!,Projet,PARTENARIAT MONTPELLIE SPORT,V2018-488,19/12/2018,"1,700 €",En attente réception,39281683100011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,406,ECHECS CLUB MONTPELLIER ECM CA406!,Projet,REUSSITE EDUCATIVE,V2018-486,19/12/2018,"4,300 €",En attente réception,39281683100011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
ENFANCE,409,JOUONS EN LUDOTHEQUES CA409!,Fonctionnement,,V2018-498,19/12/2018,"2,000 €",Reçue,31897784000020,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,412,INTENSITES CA412!,Fonctionnement,,V2018-508,19/12/2018,"3,600 €",En attente réception,49212213000023,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,418,ASSOCIATION RAMA. CA418!,Fonctionnement,,V2018-508,19/12/2018,"9,000 €",En attente réception,49189039800010,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,432,ASSOCIATION DES PUPILLES DE L'ENSEIGNEMENT PUBLIC HERAULT CA432!,Fonctionnement,,V2018-508,19/12/2018,"5,000 €",En attente réception,34034342500260,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,432,ASSOCIATION DES PUPILLES DE L'ENSEIGNEMENT PUBLIC HERAULT CA432!,Projet,SAISON DE LA BULLE BLEUE,V2018-508,19/12/2018,"4,000 €",En attente réception,34034342500260,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,444,AMIS DE L'ORGUE DES SAINTS FRANCOIS CA444!,Fonctionnement,,V2018-508,19/12/2018,500 €,En attente réception,49271305200016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
INTERNATIONAL,456,MAISON DES TIERS MONDES SOLIDARITE INTERNATIONALE MTMSI CA456!,Fonctionnement,,V2018-513,19/12/2018,"8,000 €",En attente réception,35391099500011,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
INTERNATIONAL,456,MAISON DES TIERS MONDES SOLIDARITE INTERNATIONALE MTMSI CA456!,Projet,30ÈME QUINZAINE DE LA SOLIDAITÉ INTERNATIONALE.,V2018-513,19/12/2018,"2,000 €",En attente réception,35391099500011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,457,ASSOCIATION LE MOOVENEMENT CA457!,Projet,TRANSHUMANCIA: CRÉATION DANSE THÉÂTRE INSTALLATION,V2018-508,19/12/2018,500 €,En attente réception,49186712300029,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,465,CHOEUR LES CHOREGIENS CA465!,Fonctionnement,,V2018-508,19/12/2018,"2,000 €",En attente réception,40160879900011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,465,CHOEUR LES CHOREGIENS CA465!,Projet,MICRO FESTIVAL,V2018-508,19/12/2018,500 €,En attente réception,40160879900011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,467,LE RELAIS - MAISON DES ENFANTS DANS LA VILLE CA467!,Fonctionnement,,V2018-486,19/12/2018,"30,000 €",En attente réception,38851142000019,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,473,LE BAO CA473!,Fonctionnement,,V2018-508,19/12/2018,"1,000 €",En attente réception,49107017300068,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,474,ASSOCIATION LA GERBE CA474!,Fonctionnement,,V2018-483,19/12/2018," 11,000 € ",En attente réception,77606109500019,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,491,SON E RESSON OCCITAN CA491!,Fonctionnement,,V2018-508,19/12/2018,"8,000 €",En attente réception,39971818800028,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
ENFANCE,497,ASSOCIATION ANIM'FRIMOUSSES CA497!,Fonctionnement,,V2018-498,19/12/2018,300 €,Reçue,75399149600021,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,500,CERCLE OCCITAN DE MONTPELLIER CA500!,Fonctionnement,,V2018-508,19/12/2018,"1,200 €",En attente réception,40391778400031,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,515,AVF MONTPELLIER (ACCUEIL DES VILLES FRANCAISES MONTPELLIER) CA515!,Fonctionnement,,V2018-483,19/12/2018," 1,400 € ",En attente réception,33468670600022,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,532,ATHOME CA532!,Projet,LA RESISTIBLE ASCENSION D ARTURO ,V2018-508,19/12/2018,"2,500 €",En attente réception,49247830000030,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,547,VOCALYS CA547!,Fonctionnement,,V2018-508,19/12/2018,500 €,En attente réception,75198240600017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
INTERNATIONAL,548,EURO-GRECE FRANCE CA548!,Fonctionnement,,V2018-513,19/12/2018,700 €,En attente réception,75383838200012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
INTERNATIONAL,548,EURO-GRECE FRANCE CA548!,Projet,FETE NATIONALE ,V2018-513,19/12/2018,"1,000 €",En attente réception,75383838200012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,551,OFFICE CENTRAL DE LA COOPERATION A L'ECOLE DE L'HERAULT CA551!,Fonctionnement,,V2018-486,19/12/2018,"2,000 €",En attente réception,39037408000039,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,565,CARRE MENTHE CA565!,Fonctionnement,,V2018-508,19/12/2018,800 €,En attente réception,40472415500043,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,577,MALBOSC PETANQUE CA577!,Fonctionnement,,V2018-488,19/12/2018,900 €,En attente réception,79018147300014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SANTE,578,AVENIR SANTE CA578!,Projet,LOS ANGELS DE LA NUECH,V2018-510,19/12/2018,"12,000 €",En attente réception,42082922800014,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SANTE,578,AVENIR SANTE CA578!,Projet,PREVENTION EN MILIEUX FESTIFS JEUNES MONTPELLIÉRAINS,V2018-510,19/12/2018,"4,000 €",En attente réception,42082922800014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / HANDICAP,582,SURDI 34 DEFICIENTS AUDITIFS CA582!,Projet,PROJET DE FORMATION BAFA,V2018-495,19/12/2018,500 €,En attente réception,50448915400022,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / SOLIDARITE,618,LA CLE DES CHANTS CA618!,Fonctionnement,,V2018-495,19/12/2018,500 €,En attente réception,80475784700012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / JEUNESSE VIE ETUDIANTE,625,ECLAIREURS ET ECLAIREUSES DE FRANCE CA625!,Fonctionnement,,V2018-489,19/12/2018,"2,800 €",En attente réception,77567559800871,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / JEUNESSE VIE ETUDIANTE,633,SCOUTS ET GUIDES DE FRANCE CA633!,Fonctionnement,,V2018-489,19/12/2018,"2,800 €",En attente réception,77568202400010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,642,FEDERATION DES CONSEILS DE PARENTS D'ELEVES DE L'HERAULT CA642!,Fonctionnement,,V2018-486,19/12/2018,"5,500 €",En attente réception,77606112900057,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SOCIAL / AIDE ALIMENTAIRE,666,SECOURS CATHOLIQUE CA666!,Fonctionnement,,V2018-493,19/12/2018,"21,000 €",En attente réception,77566669600015,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SANTE,674,SOS AMITIES MONTPELLIER LANGUEDOC CA674!,Fonctionnement,,V2018-510,19/12/2018,"1,200 €",En attente réception,42992106700022,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
INTERNATIONAL,680,ASSOCIATION FRANCE PALESTINE SOLIDARITE CA680!,Fonctionnement,,V2018-513,19/12/2018,700 €,En attente réception,50813938300014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,686,TRISOMIE 21 HERAULT - GROUPE D'ETUDE ET D'INSERTION SOCIALE DE PERSONNES TRISOMIQUES 21 CA686!,Fonctionnement,,V2018-486,19/12/2018,"2,000 €",En attente réception,33195241600013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / HANDICAP,696,COMITE DE LIAISON ET DE COORDINATION DES ASSOCIATIONS DE PERSONNES HANDICAPEES ET MALADES CHRONIQUES CA696!,Fonctionnement,HANDICAP,V2018-495,19/12/2018,"10,000 €",En attente réception,39257874600035,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
